city,pollutant,calendar_month,n_days_with_data,avg_value,min_daily_avg,max_daily_avg
Ahmedabad,Benzene,1,145,5.165,0.0,39.794
Ahmedabad,Benzene,2,132,3.6,0.0,50.611
Ahmedabad,Benzene,3,134,6.543,0.0,56.27
Ahmedabad,Benzene,4,103,5.146,0.0,17.222
Ahmedabad,Benzene,5,114,6.697,0.0,20.533
Ahmedabad,Benzene,6,112,5.428,0.0,29.456
Ahmedabad,Benzene,7,114,4.151,0.0,13.663
Ahmedabad,Benzene,8,116,3.31,0.0,32.197
Ahmedabad,Benzene,9,105,1.921,0.0,4.798
Ahmedabad,Benzene,10,122,5.282,0.0,35.01
Ahmedabad,Benzene,11,119,9.249,0.0,77.435
Ahmedabad,Benzene,12,93,6.326,0.0,29.826
Ahmedabad,CO,1,103,10.353,0.519,30.695
Ahmedabad,CO,2,87,11.38,1.079,22.833
Ahmedabad,CO,3,115,9.415,2.277,20.541
Ahmedabad,CO,4,103,8.389,0.283,22.237
Ahmedabad,CO,5,113,7.898,0.391,25.239
Ahmedabad,CO,6,113,13.18,0.414,40.088
Ahmedabad,CO,7,102,18.889,0.144,37.091
Ahmedabad,CO,8,114,18.808,6.084,39.21
Ahmedabad,CO,9,105,16.313,6.497,35.74
Ahmedabad,CO,10,106,11.867,1.41,24.016
Ahmedabad,CO,11,77,12.739,4.932,24.334
Ahmedabad,CO,12,87,9.719,1.889,19.837
Ahmedabad,NH3,1,0,,,
Ahmedabad,NH3,2,0,,,
Ahmedabad,NH3,3,0,,,
Ahmedabad,NH3,4,0,,,
Ahmedabad,NH3,5,0,,,
Ahmedabad,NH3,6,0,,,
Ahmedabad,NH3,7,0,,,
Ahmedabad,NH3,8,0,,,
Ahmedabad,NH3,9,0,,,
Ahmedabad,NH3,10,0,,,
Ahmedabad,NH3,11,0,,,
Ahmedabad,NH3,12,0,,,
Ahmedabad,NO,1,111,26.7,0.519,119.682
Ahmedabad,NO,2,103,32.295,1.079,147.569
Ahmedabad,NO,3,116,22.089,2.277,80.746
Ahmedabad,NO,4,103,15.747,2.28,75.708
Ahmedabad,NO,5,113,10.118,1.847,34.558
Ahmedabad,NO,6,117,15.704,2.306,44.957
Ahmedabad,NO,7,107,22.081,0.144,86.719
Ahmedabad,NO,8,119,22.231,6.084,89.851
Ahmedabad,NO,9,105,19.698,6.497,51.316
Ahmedabad,NO,10,116,25.245,1.41,112.706
Ahmedabad,NO,11,92,37.612,4.932,141.56
Ahmedabad,NO,12,91,20.923,1.889,102.293
Ahmedabad,NO2,1,112,68.818,11.653,273.387
Ahmedabad,NO2,2,104,79.931,10.447,201.585
Ahmedabad,NO2,3,117,63.28,14.142,156.213
Ahmedabad,NO2,4,108,44.468,13.278,128.867
Ahmedabad,NO2,5,114,34.989,0.081,112.682
Ahmedabad,NO2,6,117,53.625,9.528,277.311
Ahmedabad,NO2,7,114,54.56,0.118,184.401
Ahmedabad,NO2,8,119,33.827,7.39,73.54
Ahmedabad,NO2,9,105,50.252,5.455,239.762
Ahmedabad,NO2,10,116,73.656,5.037,246.976
Ahmedabad,NO2,11,92,104.895,12.697,292.02
Ahmedabad,NO2,12,91,65.185,11.32,110.07
Ahmedabad,NOx,1,114,50.732,0.0,169.273
Ahmedabad,NOx,2,103,62.761,13.947,254.602
Ahmedabad,NOx,3,116,46.532,10.248,141.581
Ahmedabad,NOx,4,103,36.037,9.31,95.056
Ahmedabad,NOx,5,114,28.03,2.746,80.776
Ahmedabad,NOx,6,117,42.454,8.233,162.63
Ahmedabad,NOx,7,114,49.404,7.767,122.969
Ahmedabad,NOx,8,119,42.038,15.882,119.187
Ahmedabad,NOx,9,105,45.915,15.12,157.055
Ahmedabad,NOx,10,122,58.89,15.403,199.606
Ahmedabad,NOx,11,94,71.178,0.0,197.092
Ahmedabad,NOx,12,91,38.563,7.76,88.27
Ahmedabad,O3,1,101,44.41,20.963,131.781
Ahmedabad,O3,2,99,46.127,7.94,107.421
Ahmedabad,O3,3,103,46.151,16.915,71.717
Ahmedabad,O3,4,101,40.029,4.623,77.881
Ahmedabad,O3,5,96,42.856,10.736,90.535
Ahmedabad,O3,6,96,35.603,0.719,122.088
Ahmedabad,O3,7,91,19.691,0.371,113.295
Ahmedabad,O3,8,107,25.459,1.402,98.334
Ahmedabad,O3,9,83,29.945,4.735,84.1
Ahmedabad,O3,10,112,48.421,5.999,165.657
Ahmedabad,O3,11,84,44.938,14.985,79.305
Ahmedabad,O3,12,85,49.686,4.585,105.686
Ahmedabad,PM10,1,23,112.097,66.539,161.094
Ahmedabad,PM10,2,27,143.903,97.03,242.98
Ahmedabad,PM10,3,29,107.207,37.124,153.05
Ahmedabad,PM10,4,30,81.561,61.788,112.617
Ahmedabad,PM10,5,48,97.809,56.902,177.872
Ahmedabad,PM10,6,40,106.211,62.279,156.326
Ahmedabad,PM10,7,27,112.568,80.672,172.359
Ahmedabad,PM10,8,29,136.607,50.034,199.336
Ahmedabad,PM10,9,23,76.773,33.909,123.181
Ahmedabad,PM10,10,29,137.058,52.969,215.194
Ahmedabad,PM10,11,30,111.984,69.152,217.529
Ahmedabad,PM10,12,29,110.245,76.391,163.955
Ahmedabad,PM2.5,1,85,79.358,18.025,149.26
Ahmedabad,PM2.5,2,101,88.425,32.759,259.637
Ahmedabad,PM2.5,3,116,78.415,20.671,237.765
Ahmedabad,PM2.5,4,102,75.31,21.266,220.949
Ahmedabad,PM2.5,5,111,52.255,19.148,130.345
Ahmedabad,PM2.5,6,113,43.802,11.908,143.692
Ahmedabad,PM2.5,7,112,49.032,4.658,350.569
Ahmedabad,PM2.5,8,119,43.59,10.453,170.215
Ahmedabad,PM2.5,9,100,36.436,3.542,69.117
Ahmedabad,PM2.5,10,121,95.865,20.102,365.342
Ahmedabad,PM2.5,11,92,97.065,33.685,349.084
Ahmedabad,PM2.5,12,88,77.647,37.282,238.417
Ahmedabad,SO2,1,109,66.149,10.674,156.594
Ahmedabad,SO2,2,97,68.871,19.56,146.555
Ahmedabad,SO2,3,112,60.758,9.224,171.32
Ahmedabad,SO2,4,106,40.488,3.3,115.709
Ahmedabad,SO2,5,82,65.759,12.656,164.477
Ahmedabad,SO2,6,111,32.996,0.536,148.544
Ahmedabad,SO2,7,107,26.681,1.42,132.411
Ahmedabad,SO2,8,116,34.835,3.782,161.754
Ahmedabad,SO2,9,101,40.268,3.687,118.736
Ahmedabad,SO2,10,111,66.148,6.488,162.567
Ahmedabad,SO2,11,84,102.618,15.751,181.56
Ahmedabad,SO2,12,91,71.487,18.804,137.178
