city,pollutant,year,month,year_month,n_days_with_data,avg_value
Ahmedabad,Benzene,2015,01,2015-01,31,1.508
Ahmedabad,Benzene,2015,02,2015-02,24,8.831
Ahmedabad,Benzene,2015,03,2015-03,27,11.063
Ahmedabad,Benzene,2015,04,2015-04,20,3.096
Ahmedabad,Benzene,2015,05,2015-05,28,3.52
Ahmedabad,Benzene,2015,06,2015-06,30,1.909
Ahmedabad,Benzene,2015,07,2015-07,29,1.54
Ahmedabad,Benzene,2015,08,2015-08,31,1.096
Ahmedabad,Benzene,2015,09,2015-09,25,0.001
Ahmedabad,Benzene,2015,10,2015-10,26,8.885
Ahmedabad,Benzene,2015,11,2015-11,1,28.185
Ahmedabad,Benzene,2015,12,2015-12,0,
Ahmedabad,Benzene,2016,01,2016-01,0,
Ahmedabad,Benzene,2016,02,2016-02,0,
Ahmedabad,Benzene,2016,03,2016-03,0,
Ahmedabad,Benzene,2016,04,2016-04,0,
Ahmedabad,Benzene,2016,05,2016-05,0,
Ahmedabad,Benzene,2016,06,2016-06,3,0.0
Ahmedabad,Benzene,2016,07,2016-07,23,0.796
Ahmedabad,Benzene,2016,08,2016-08,28,4.523
Ahmedabad,Benzene,2016,09,2016-09,25,1.936
Ahmedabad,Benzene,2016,10,2016-10,29,2.7
Ahmedabad,Benzene,2016,11,2016-11,28,0.243
Ahmedabad,Benzene,2016,12,2016-12,27,0.0
Ahmedabad,Benzene,2017,01,2017-01,31,0.0
Ahmedabad,Benzene,2017,02,2017-02,27,0.0
Ahmedabad,Benzene,2017,03,2017-03,22,0.0
Ahmedabad,Benzene,2017,04,2017-04,0,
Ahmedabad,Benzene,2017,05,2017-05,0,
Ahmedabad,Benzene,2017,06,2017-06,0,
Ahmedabad,Benzene,2017,07,2017-07,0,
Ahmedabad,Benzene,2017,08,2017-08,0,
Ahmedabad,Benzene,2017,09,2017-09,3,0.0
Ahmedabad,Benzene,2017,10,2017-10,9,11.446
Ahmedabad,Benzene,2017,11,2017-11,30,20.197
Ahmedabad,Benzene,2017,12,2017-12,30,14.913
Ahmedabad,Benzene,2018,01,2018-01,29,17.804
Ahmedabad,Benzene,2018,02,2018-02,24,4.501
Ahmedabad,Benzene,2018,03,2018-03,29,12.381
Ahmedabad,Benzene,2018,04,2018-04,28,8.012
Ahmedabad,Benzene,2018,05,2018-05,29,8.103
Ahmedabad,Benzene,2018,06,2018-06,28,5.935
Ahmedabad,Benzene,2018,07,2018-07,31,7.079
Ahmedabad,Benzene,2018,08,2018-08,30,5.462
Ahmedabad,Benzene,2018,09,2018-09,27,3.972
Ahmedabad,Benzene,2018,10,2018-10,29,5.299
Ahmedabad,Benzene,2018,11,2018-11,30,13.112
Ahmedabad,Benzene,2018,12,2018-12,31,4.074
Ahmedabad,Benzene,2019,01,2019-01,29,4.097
Ahmedabad,Benzene,2019,02,2019-02,28,4.103
Ahmedabad,Benzene,2019,03,2019-03,31,4.125
Ahmedabad,Benzene,2019,04,2019-04,25,4.197
Ahmedabad,Benzene,2019,05,2019-05,26,11.978
Ahmedabad,Benzene,2019,06,2019-06,23,9.436
Ahmedabad,Benzene,2019,07,2019-07,31,6.154
Ahmedabad,Benzene,2019,08,2019-08,27,2.202
Ahmedabad,Benzene,2019,09,2019-09,25,1.842
Ahmedabad,Benzene,2019,10,2019-10,29,2.705
Ahmedabad,Benzene,2019,11,2019-11,30,2.212
Ahmedabad,Benzene,2019,12,2019-12,5,2.923
Ahmedabad,Benzene,2020,01,2020-01,25,2.681
Ahmedabad,Benzene,2020,02,2020-02,29,1.39
Ahmedabad,Benzene,2020,03,2020-03,25,3.644
Ahmedabad,Benzene,2020,04,2020-04,30,4.627
Ahmedabad,Benzene,2020,05,2020-05,31,3.822
Ahmedabad,Benzene,2020,06,2020-06,28,5.979
Ahmedabad,Benzene,2020,07,2020-07,0,
Ahmedabad,CO,2015,01,2015-01,26,5.402
Ahmedabad,CO,2015,02,2015-02,22,7.979
Ahmedabad,CO,2015,03,2015-03,27,6.339
Ahmedabad,CO,2015,04,2015-04,20,6.159
Ahmedabad,CO,2015,05,2015-05,28,6.803
Ahmedabad,CO,2015,06,2015-06,30,7.817
Ahmedabad,CO,2015,07,2015-07,27,6.656
Ahmedabad,CO,2015,08,2015-08,31,10.931
Ahmedabad,CO,2015,09,2015-09,25,11.021
Ahmedabad,CO,2015,10,2015-10,26,8.639
Ahmedabad,CO,2015,11,2015-11,0,
Ahmedabad,CO,2015,12,2015-12,0,
Ahmedabad,CO,2016,01,2016-01,0,
Ahmedabad,CO,2016,02,2016-02,0,
Ahmedabad,CO,2016,03,2016-03,0,
Ahmedabad,CO,2016,04,2016-04,0,
Ahmedabad,CO,2016,05,2016-05,0,
Ahmedabad,CO,2016,06,2016-06,3,10.22
Ahmedabad,CO,2016,07,2016-07,13,5.849
Ahmedabad,CO,2016,08,2016-08,25,9.234
Ahmedabad,CO,2016,09,2016-09,25,10.163
Ahmedabad,CO,2016,10,2016-10,29,11.533
Ahmedabad,CO,2016,11,2016-11,3,11.54
Ahmedabad,CO,2016,12,2016-12,0,
Ahmedabad,CO,2017,01,2017-01,0,
Ahmedabad,CO,2017,02,2017-02,0,
Ahmedabad,CO,2017,03,2017-03,0,
Ahmedabad,CO,2017,04,2017-04,0,
Ahmedabad,CO,2017,05,2017-05,0,
Ahmedabad,CO,2017,06,2017-06,0,
Ahmedabad,CO,2017,07,2017-07,0,
Ahmedabad,CO,2017,08,2017-08,0,
Ahmedabad,CO,2017,09,2017-09,0,
Ahmedabad,CO,2017,10,2017-10,0,
Ahmedabad,CO,2017,11,2017-11,25,11.184
Ahmedabad,CO,2017,12,2017-12,30,9.393
Ahmedabad,CO,2018,01,2018-01,29,12.722
Ahmedabad,CO,2018,02,2018-02,14,13.762
Ahmedabad,CO,2018,03,2018-03,28,10.439
Ahmedabad,CO,2018,04,2018-04,28,11.42
Ahmedabad,CO,2018,05,2018-05,29,10.509
Ahmedabad,CO,2018,06,2018-06,25,25.811
Ahmedabad,CO,2018,07,2018-07,31,25.882
Ahmedabad,CO,2018,08,2018-08,30,25.634
Ahmedabad,CO,2018,09,2018-09,27,24.063
Ahmedabad,CO,2018,10,2018-10,26,18.142
Ahmedabad,CO,2018,11,2018-11,19,14.625
Ahmedabad,CO,2018,12,2018-12,28,11.793
Ahmedabad,CO,2019,01,2019-01,23,13.223
Ahmedabad,CO,2019,02,2019-02,27,12.349
Ahmedabad,CO,2019,03,2019-03,31,13.153
Ahmedabad,CO,2019,04,2019-04,25,14.958
Ahmedabad,CO,2019,05,2019-05,25,15.165
Ahmedabad,CO,2019,06,2019-06,28,20.004
Ahmedabad,CO,2019,07,2019-07,31,28.018
Ahmedabad,CO,2019,08,2019-08,28,28.765
Ahmedabad,CO,2019,09,2019-09,28,19.057
Ahmedabad,CO,2019,10,2019-10,25,9.083
Ahmedabad,CO,2019,11,2019-11,30,12.96
Ahmedabad,CO,2019,12,2019-12,29,8.054
Ahmedabad,CO,2020,01,2020-01,25,10.114
Ahmedabad,CO,2020,02,2020-02,24,12.019
Ahmedabad,CO,2020,03,2020-03,29,7.296
Ahmedabad,CO,2020,04,2020-04,30,1.573
Ahmedabad,CO,2020,05,2020-05,31,0.584
Ahmedabad,CO,2020,06,2020-06,27,0.696
Ahmedabad,CO,2020,07,2020-07,0,
Ahmedabad,NH3,2015,01,2015-01,0,
Ahmedabad,NH3,2015,02,2015-02,0,
Ahmedabad,NH3,2015,03,2015-03,0,
Ahmedabad,NH3,2015,04,2015-04,0,
Ahmedabad,NH3,2015,05,2015-05,0,
Ahmedabad,NH3,2015,06,2015-06,0,
Ahmedabad,NH3,2015,07,2015-07,0,
Ahmedabad,NH3,2015,08,2015-08,0,
Ahmedabad,NH3,2015,09,2015-09,0,
Ahmedabad,NH3,2015,10,2015-10,0,
Ahmedabad,NH3,2015,11,2015-11,0,
Ahmedabad,NH3,2015,12,2015-12,0,
Ahmedabad,NH3,2016,01,2016-01,0,
Ahmedabad,NH3,2016,02,2016-02,0,
Ahmedabad,NH3,2016,03,2016-03,0,
Ahmedabad,NH3,2016,04,2016-04,0,
Ahmedabad,NH3,2016,05,2016-05,0,
Ahmedabad,NH3,2016,06,2016-06,0,
Ahmedabad,NH3,2016,07,2016-07,0,
Ahmedabad,NH3,2016,08,2016-08,0,
Ahmedabad,NH3,2016,09,2016-09,0,
Ahmedabad,NH3,2016,10,2016-10,0,
Ahmedabad,NH3,2016,11,2016-11,0,
Ahmedabad,NH3,2016,12,2016-12,0,
Ahmedabad,NH3,2017,01,2017-01,0,
Ahmedabad,NH3,2017,02,2017-02,0,
Ahmedabad,NH3,2017,03,2017-03,0,
Ahmedabad,NH3,2017,04,2017-04,0,
Ahmedabad,NH3,2017,05,2017-05,0,
Ahmedabad,NH3,2017,06,2017-06,0,
Ahmedabad,NH3,2017,07,2017-07,0,
Ahmedabad,NH3,2017,08,2017-08,0,
Ahmedabad,NH3,2017,09,2017-09,0,
Ahmedabad,NH3,2017,10,2017-10,0,
Ahmedabad,NH3,2017,11,2017-11,0,
Ahmedabad,NH3,2017,12,2017-12,0,
Ahmedabad,NH3,2018,01,2018-01,0,
Ahmedabad,NH3,2018,02,2018-02,0,
Ahmedabad,NH3,2018,03,2018-03,0,
Ahmedabad,NH3,2018,04,2018-04,0,
Ahmedabad,NH3,2018,05,2018-05,0,
Ahmedabad,NH3,2018,06,2018-06,0,
Ahmedabad,NH3,2018,07,2018-07,0,
Ahmedabad,NH3,2018,08,2018-08,0,
Ahmedabad,NH3,2018,09,2018-09,0,
Ahmedabad,NH3,2018,10,2018-10,0,
Ahmedabad,NH3,2018,11,2018-11,0,
Ahmedabad,NH3,2018,12,2018-12,0,
Ahmedabad,NH3,2019,01,2019-01,0,
Ahmedabad,NH3,2019,02,2019-02,0,
Ahmedabad,NH3,2019,03,2019-03,0,
Ahmedabad,NH3,2019,04,2019-04,0,
Ahmedabad,NH3,2019,05,2019-05,0,
Ahmedabad,NH3,2019,06,2019-06,0,
Ahmedabad,NH3,2019,07,2019-07,0,
Ahmedabad,NH3,2019,08,2019-08,0,
Ahmedabad,NH3,2019,09,2019-09,0,
Ahmedabad,NH3,2019,10,2019-10,0,
Ahmedabad,NH3,2019,11,2019-11,0,
Ahmedabad,NH3,2019,12,2019-12,0,
Ahmedabad,NH3,2020,01,2020-01,0,
Ahmedabad,NH3,2020,02,2020-02,0,
Ahmedabad,NH3,2020,03,2020-03,0,
Ahmedabad,NH3,2020,04,2020-04,0,
Ahmedabad,NH3,2020,05,2020-05,0,
Ahmedabad,NH3,2020,06,2020-06,0,
Ahmedabad,NH3,2020,07,2020-07,0,
Ahmedabad,NO,2015,01,2015-01,28,16.821
Ahmedabad,NO,2015,02,2015-02,24,22.119
Ahmedabad,NO,2015,03,2015-03,27,13.574
Ahmedabad,NO,2015,04,2015-04,20,8.014
Ahmedabad,NO,2015,05,2015-05,28,8.415
Ahmedabad,NO,2015,06,2015-06,30,7.899
Ahmedabad,NO,2015,07,2015-07,27,6.656
Ahmedabad,NO,2015,08,2015-08,31,10.931
Ahmedabad,NO,2015,09,2015-09,25,11.238
Ahmedabad,NO,2015,10,2015-10,26,17.245
Ahmedabad,NO,2015,11,2015-11,1,25.684
Ahmedabad,NO,2015,12,2015-12,0,
Ahmedabad,NO,2016,01,2016-01,0,
Ahmedabad,NO,2016,02,2016-02,0,
Ahmedabad,NO,2016,03,2016-03,0,
Ahmedabad,NO,2016,04,2016-04,0,
Ahmedabad,NO,2016,05,2016-05,0,
Ahmedabad,NO,2016,06,2016-06,3,10.22
Ahmedabad,NO,2016,07,2016-07,18,21.782
Ahmedabad,NO,2016,08,2016-08,28,17.624
Ahmedabad,NO,2016,09,2016-09,25,10.163
Ahmedabad,NO,2016,10,2016-10,29,13.228
Ahmedabad,NO,2016,11,2016-11,3,11.889
Ahmedabad,NO,2016,12,2016-12,0,
Ahmedabad,NO,2017,01,2017-01,0,
Ahmedabad,NO,2017,02,2017-02,0,
Ahmedabad,NO,2017,03,2017-03,0,
Ahmedabad,NO,2017,04,2017-04,0,
Ahmedabad,NO,2017,05,2017-05,0,
Ahmedabad,NO,2017,06,2017-06,0,
Ahmedabad,NO,2017,07,2017-07,0,
Ahmedabad,NO,2017,08,2017-08,0,
Ahmedabad,NO,2017,09,2017-09,0,
Ahmedabad,NO,2017,10,2017-10,3,82.353
Ahmedabad,NO,2017,11,2017-11,28,38.008
Ahmedabad,NO,2017,12,2017-12,30,15.164
Ahmedabad,NO,2018,01,2018-01,29,32.211
Ahmedabad,NO,2018,02,2018-02,24,58.59
Ahmedabad,NO,2018,03,2018-03,29,37.697
Ahmedabad,NO,2018,04,2018-04,28,22.648
Ahmedabad,NO,2018,05,2018-05,29,12.035
Ahmedabad,NO,2018,06,2018-06,28,28.441
Ahmedabad,NO,2018,07,2018-07,31,27.7
Ahmedabad,NO,2018,08,2018-08,30,27.465
Ahmedabad,NO,2018,09,2018-09,27,31.021
Ahmedabad,NO,2018,10,2018-10,29,36.451
Ahmedabad,NO,2018,11,2018-11,30,57.858
Ahmedabad,NO,2018,12,2018-12,31,35.449
Ahmedabad,NO,2019,01,2019-01,29,43.525
Ahmedabad,NO,2019,02,2019-02,28,25.727
Ahmedabad,NO,2019,03,2019-03,31,27.942
Ahmedabad,NO,2019,04,2019-04,25,28.573
Ahmedabad,NO,2019,05,2019-05,25,18.104
Ahmedabad,NO,2019,06,2019-06,28,20.954
Ahmedabad,NO,2019,07,2019-07,31,30.069
Ahmedabad,NO,2019,08,2019-08,30,32.976
Ahmedabad,NO,2019,09,2019-09,28,24.845
Ahmedabad,NO,2019,10,2019-10,29,27.321
Ahmedabad,NO,2019,11,2019-11,30,19.965
Ahmedabad,NO,2019,12,2019-12,30,11.671
Ahmedabad,NO,2020,01,2020-01,25,11.856
Ahmedabad,NO,2020,02,2020-02,27,24.78
Ahmedabad,NO,2020,03,2020-03,29,8.152
Ahmedabad,NO,2020,04,2020-04,30,3.773
Ahmedabad,NO,2020,05,2020-05,31,3.424
Ahmedabad,NO,2020,06,2020-06,28,6.667
Ahmedabad,NO,2020,07,2020-07,0,
Ahmedabad,NO2,2015,01,2015-01,29,26.531
Ahmedabad,NO2,2015,02,2015-02,25,31.315
Ahmedabad,NO2,2015,03,2015-03,28,28.757
Ahmedabad,NO2,2015,04,2015-04,25,21.489
Ahmedabad,NO2,2015,05,2015-05,29,17.305
Ahmedabad,NO2,2015,06,2015-06,30,13.895
Ahmedabad,NO2,2015,07,2015-07,29,7.462
Ahmedabad,NO2,2015,08,2015-08,31,17.396
Ahmedabad,NO2,2015,09,2015-09,25,14.79
Ahmedabad,NO2,2015,10,2015-10,26,30.772
Ahmedabad,NO2,2015,11,2015-11,1,33.642
Ahmedabad,NO2,2015,12,2015-12,0,
Ahmedabad,NO2,2016,01,2016-01,0,
Ahmedabad,NO2,2016,02,2016-02,0,
Ahmedabad,NO2,2016,03,2016-03,0,
Ahmedabad,NO2,2016,04,2016-04,0,
Ahmedabad,NO2,2016,05,2016-05,0,
Ahmedabad,NO2,2016,06,2016-06,3,25.31
Ahmedabad,NO2,2016,07,2016-07,23,27.842
Ahmedabad,NO2,2016,08,2016-08,28,15.26
Ahmedabad,NO2,2016,09,2016-09,25,8.211
Ahmedabad,NO2,2016,10,2016-10,29,11.827
Ahmedabad,NO2,2016,11,2016-11,3,13.614
Ahmedabad,NO2,2016,12,2016-12,0,
Ahmedabad,NO2,2017,01,2017-01,0,
Ahmedabad,NO2,2017,02,2017-02,0,
Ahmedabad,NO2,2017,03,2017-03,0,
Ahmedabad,NO2,2017,04,2017-04,0,
Ahmedabad,NO2,2017,05,2017-05,0,
Ahmedabad,NO2,2017,06,2017-06,0,
Ahmedabad,NO2,2017,07,2017-07,0,
Ahmedabad,NO2,2017,08,2017-08,0,
Ahmedabad,NO2,2017,09,2017-09,0,
Ahmedabad,NO2,2017,10,2017-10,3,44.871
Ahmedabad,NO2,2017,11,2017-11,28,91.798
Ahmedabad,NO2,2017,12,2017-12,30,73.938
Ahmedabad,NO2,2018,01,2018-01,29,139.73
Ahmedabad,NO2,2018,02,2018-02,24,159.543
Ahmedabad,NO2,2018,03,2018-03,29,114.275
Ahmedabad,NO2,2018,04,2018-04,28,62.813
Ahmedabad,NO2,2018,05,2018-05,29,31.098
Ahmedabad,NO2,2018,06,2018-06,28,44.878
Ahmedabad,NO2,2018,07,2018-07,31,60.771
Ahmedabad,NO2,2018,08,2018-08,30,54.484
Ahmedabad,NO2,2018,09,2018-09,27,86.247
Ahmedabad,NO2,2018,10,2018-10,29,101.226
Ahmedabad,NO2,2018,11,2018-11,30,91.817
Ahmedabad,NO2,2018,12,2018-12,31,81.775
Ahmedabad,NO2,2019,01,2019-01,29,82.916
Ahmedabad,NO2,2019,02,2019-02,28,72.119
Ahmedabad,NO2,2019,03,2019-03,31,74.725
Ahmedabad,NO2,2019,04,2019-04,25,72.409
Ahmedabad,NO2,2019,05,2019-05,25,79.436
Ahmedabad,NO2,2019,06,2019-06,28,132.822
Ahmedabad,NO2,2019,07,2019-07,31,112.231
Ahmedabad,NO2,2019,08,2019-08,30,47.477
Ahmedabad,NO2,2019,09,2019-09,28,84.74
Ahmedabad,NO2,2019,10,2019-10,29,149.339
Ahmedabad,NO2,2019,11,2019-11,30,141.701
Ahmedabad,NO2,2019,12,2019-12,30,39.289
Ahmedabad,NO2,2020,01,2020-01,25,19.261
Ahmedabad,NO2,2020,02,2020-02,27,62.281
Ahmedabad,NO2,2020,03,2020-03,29,33.385
Ahmedabad,NO2,2020,04,2020-04,30,23.212
Ahmedabad,NO2,2020,05,2020-05,31,19.327
Ahmedabad,NO2,2020,06,2020-06,28,28.775
Ahmedabad,NO2,2020,07,2020-07,0,
Ahmedabad,NOx,2015,01,2015-01,31,39.413
Ahmedabad,NOx,2015,02,2015-02,24,52.7
Ahmedabad,NOx,2015,03,2015-03,27,40.936
Ahmedabad,NOx,2015,04,2015-04,20,28.496
Ahmedabad,NOx,2015,05,2015-05,28,24.879
Ahmedabad,NOx,2015,06,2015-06,30,21.678
Ahmedabad,NOx,2015,07,2015-07,29,13.431
Ahmedabad,NOx,2015,08,2015-08,31,28.175
Ahmedabad,NOx,2015,09,2015-09,25,26.028
Ahmedabad,NOx,2015,10,2015-10,26,47.835
Ahmedabad,NOx,2015,11,2015-11,1,58.446
Ahmedabad,NOx,2015,12,2015-12,0,
Ahmedabad,NOx,2016,01,2016-01,0,
Ahmedabad,NOx,2016,02,2016-02,0,
Ahmedabad,NOx,2016,03,2016-03,0,
Ahmedabad,NOx,2016,04,2016-04,0,
Ahmedabad,NOx,2016,05,2016-05,0,
Ahmedabad,NOx,2016,06,2016-06,3,35.473
Ahmedabad,NOx,2016,07,2016-07,23,39.702
Ahmedabad,NOx,2016,08,2016-08,28,33.206
Ahmedabad,NOx,2016,09,2016-09,25,18.563
Ahmedabad,NOx,2016,10,2016-10,29,25.063
Ahmedabad,NOx,2016,11,2016-11,3,25.503
Ahmedabad,NOx,2016,12,2016-12,0,
Ahmedabad,NOx,2017,01,2017-01,0,
Ahmedabad,NOx,2017,02,2017-02,0,
Ahmedabad,NOx,2017,03,2017-03,0,
Ahmedabad,NOx,2017,04,2017-04,0,
Ahmedabad,NOx,2017,05,2017-05,0,
Ahmedabad,NOx,2017,06,2017-06,0,
Ahmedabad,NOx,2017,07,2017-07,0,
