city,pollutant,year,month,year_month,avg_value,prev_month_avg,mom_change
Ahmedabad,Benzene,2015,01,2015-01,1.508,,
Ahmedabad,Benzene,2015,02,2015-02,8.831,1.508,7.323
Ahmedabad,Benzene,2015,03,2015-03,11.063,8.831,2.232
Ahmedabad,Benzene,2015,04,2015-04,3.096,11.063,-7.967
Ahmedabad,Benzene,2015,05,2015-05,3.52,3.096,0.424
Ahmedabad,Benzene,2015,06,2015-06,1.909,3.52,-1.611
Ahmedabad,Benzene,2015,07,2015-07,1.54,1.909,-0.369
Ahmedabad,Benzene,2015,08,2015-08,1.096,1.54,-0.444
Ahmedabad,Benzene,2015,09,2015-09,0.001,1.096,-1.095
Ahmedabad,Benzene,2015,10,2015-10,8.885,0.001,8.884
Ahmedabad,Benzene,2015,11,2015-11,28.185,8.885,19.3
Ahmedabad,Benzene,2015,12,2015-12,,28.185,
Ahmedabad,Benzene,2016,01,2016-01,,,
Ahmedabad,Benzene,2016,02,2016-02,,,
Ahmedabad,Benzene,2016,03,2016-03,,,
Ahmedabad,Benzene,2016,04,2016-04,,,
Ahmedabad,Benzene,2016,05,2016-05,,,
Ahmedabad,Benzene,2016,06,2016-06,0.0,,
Ahmedabad,Benzene,2016,07,2016-07,0.796,0.0,0.796
Ahmedabad,Benzene,2016,08,2016-08,4.523,0.796,3.727
Ahmedabad,Benzene,2016,09,2016-09,1.936,4.523,-2.587
Ahmedabad,Benzene,2016,10,2016-10,2.7,1.936,0.764
Ahmedabad,Benzene,2016,11,2016-11,0.243,2.7,-2.457
Ahmedabad,Benzene,2016,12,2016-12,0.0,0.243,-0.243
Ahmedabad,Benzene,2017,01,2017-01,0.0,0.0,0.0
Ahmedabad,Benzene,2017,02,2017-02,0.0,0.0,0.0
Ahmedabad,Benzene,2017,03,2017-03,0.0,0.0,0.0
Ahmedabad,Benzene,2017,04,2017-04,,0.0,
Ahmedabad,Benzene,2017,05,2017-05,,,
Ahmedabad,Benzene,2017,06,2017-06,,,
Ahmedabad,Benzene,2017,07,2017-07,,,
Ahmedabad,Benzene,2017,08,2017-08,,,
Ahmedabad,Benzene,2017,09,2017-09,0.0,,
Ahmedabad,Benzene,2017,10,2017-10,11.446,0.0,11.446
