city,date,pm25_daily_avg,is_exceedance
Ahmedabad,2015-01-29,83.133,1
Ahmedabad,2015-01-30,79.843,1
Ahmedabad,2015-01-31,94.517,1
Ahmedabad,2015-02-01,135.989,1
Ahmedabad,2015-02-02,178.332,1
Ahmedabad,2015-02-03,139.703,1
Ahmedabad,2015-02-04,80.65,1
Ahmedabad,2015-02-05,58.362,0
Ahmedabad,2015-02-06,79.293,1
Ahmedabad,2015-02-07,88.698,1
Ahmedabad,2015-02-08,74.284,1
Ahmedabad,2015-02-09,113.928,1
Ahmedabad,2015-02-10,105.386,1
Ahmedabad,2015-02-11,62.466,1
Ahmedabad,2015-02-12,65.04,1
Ahmedabad,2015-02-13,103.36,1
Ahmedabad,2015-02-14,177.326,1
Ahmedabad,2015-02-15,113.246,1
Ahmedabad,2015-02-16,99.702,1
Ahmedabad,2015-02-17,80.615,1
Ahmedabad,2015-02-18,100.789,1
Ahmedabad,2015-02-19,107.985,1
Ahmedabad,2015-02-20,140.287,1
Ahmedabad,2015-02-21,259.637,1
Ahmedabad,2015-02-22,142.957,1
Ahmedabad,2015-02-23,238.406,1
Ahmedabad,2015-02-24,118.716,1
Ahmedabad,2015-03-02,60.775,1
Ahmedabad,2015-03-03,91.828,1
Ahmedabad,2015-03-04,93.876,1
Ahmedabad,2015-03-08,71.557,1
Ahmedabad,2015-03-09,119.803,1
Ahmedabad,2015-03-10,106.712,1
Ahmedabad,2015-03-11,118.49,1
Ahmedabad,2015-03-12,106.005,1
Ahmedabad,2015-03-13,97.341,1
Ahmedabad,2015-03-14,83.917,1
Ahmedabad,2015-03-15,49.511,0
Ahmedabad,2015-03-16,30.762,0
Ahmedabad,2015-03-17,49.4,0
Ahmedabad,2015-03-18,57.685,0
Ahmedabad,2015-03-19,105.055,1
Ahmedabad,2015-03-20,94.097,1
Ahmedabad,2015-03-21,111.891,1
Ahmedabad,2015-03-22,108.587,1
Ahmedabad,2015-03-23,130.756,1
Ahmedabad,2015-03-24,143.554,1
Ahmedabad,2015-03-25,165.067,1
Ahmedabad,2015-03-26,166.85,1
Ahmedabad,2015-03-27,147.378,1
Ahmedabad,2015-03-28,158.249,1
Ahmedabad,2015-03-29,237.765,1
Ahmedabad,2015-03-30,133.375,1
Ahmedabad,2015-03-31,133.301,1
Ahmedabad,2015-04-01,92.703,1
Ahmedabad,2015-04-02,77.691,1
Ahmedabad,2015-04-03,53.066,0
Ahmedabad,2015-04-06,120.961,1
Ahmedabad,2015-04-07,138.628,1
Ahmedabad,2015-04-08,144.364,1
Ahmedabad,2015-04-11,61.063,1
Ahmedabad,2015-04-12,39.424,0
Ahmedabad,2015-04-13,113.034,1
Ahmedabad,2015-04-14,58.902,0
Ahmedabad,2015-04-15,93.842,1
Ahmedabad,2015-04-16,141.304,1
Ahmedabad,2015-04-18,109.479,1
Ahmedabad,2015-04-19,126.041,1
Ahmedabad,2015-04-20,65.598,1
Ahmedabad,2015-04-21,97.873,1
Ahmedabad,2015-04-24,80.903,1
Ahmedabad,2015-04-25,103.293,1
Ahmedabad,2015-04-26,107.496,1
Ahmedabad,2015-04-29,138.415,1
Ahmedabad,2015-04-30,129.04,1
Ahmedabad,2015-05-01,96.648,1
Ahmedabad,2015-05-02,126.771,1
Ahmedabad,2015-05-03,106.154,1
Ahmedabad,2015-05-04,86.308,1
Ahmedabad,2015-05-05,83.99,1
Ahmedabad,2015-05-06,65.111,1
Ahmedabad,2015-05-07,51.026,0
Ahmedabad,2015-05-08,38.725,0
Ahmedabad,2015-05-09,61.123,1
Ahmedabad,2015-05-10,58.435,0
Ahmedabad,2015-05-11,61.49,1
Ahmedabad,2015-05-12,65.387,1
Ahmedabad,2015-05-13,100.923,1
Ahmedabad,2015-05-14,97.48,1
Ahmedabad,2015-05-15,129.269,1
Ahmedabad,2015-05-16,129.576,1
Ahmedabad,2015-05-17,100.573,1
Ahmedabad,2015-05-18,130.345,1
Ahmedabad,2015-05-19,53.242,0
Ahmedabad,2015-05-23,38.875,0
Ahmedabad,2015-05-24,46.892,0
Ahmedabad,2015-05-25,70.962,1
Ahmedabad,2015-05-26,53.657,0
Ahmedabad,2015-05-27,45.487,0
Ahmedabad,2015-05-29,51.93,0
Ahmedabad,2015-05-30,77.867,1
Ahmedabad,2015-05-31,57.589,0
Ahmedabad,2015-06-01,77.224,1
Ahmedabad,2015-06-02,45.289,0
Ahmedabad,2015-06-03,103.781,1
Ahmedabad,2015-06-04,25.142,0
Ahmedabad,2015-06-05,87.028,1
Ahmedabad,2015-06-06,89.596,1
Ahmedabad,2015-06-07,80.688,1
Ahmedabad,2015-06-08,44.751,0
Ahmedabad,2015-06-09,38.105,0
Ahmedabad,2015-06-10,45.505,0
Ahmedabad,2015-06-11,36.982,0
Ahmedabad,2015-06-12,43.585,0
Ahmedabad,2015-06-13,45.488,0
Ahmedabad,2015-06-14,38.055,0
Ahmedabad,2015-06-15,45.414,0
Ahmedabad,2015-06-16,37.711,0
Ahmedabad,2015-06-17,32.374,0
Ahmedabad,2015-06-18,34.742,0
Ahmedabad,2015-06-19,32.556,0
Ahmedabad,2015-06-20,29.276,0
Ahmedabad,2015-06-21,20.463,0
Ahmedabad,2015-06-22,26.066,0
Ahmedabad,2015-06-23,21.426,0
Ahmedabad,2015-06-24,11.908,0
Ahmedabad,2015-06-25,57.748,0
Ahmedabad,2015-06-26,66.39,1
Ahmedabad,2015-06-27,62.612,1
Ahmedabad,2015-06-28,47.505,0
Ahmedabad,2015-06-29,143.692,1
Ahmedabad,2015-06-30,30.004,0
Ahmedabad,2015-07-01,4.658,0
Ahmedabad,2015-07-02,48.721,0
Ahmedabad,2015-07-03,49.697,0
Ahmedabad,2015-07-04,48.1,0
Ahmedabad,2015-07-05,47.434,0
Ahmedabad,2015-07-06,51.745,0
Ahmedabad,2015-07-07,42.684,0
Ahmedabad,2015-07-08,38.448,0
Ahmedabad,2015-07-09,46.687,0
Ahmedabad,2015-07-10,55.268,0
Ahmedabad,2015-07-11,149.03,1
Ahmedabad,2015-07-12,86.565,1
Ahmedabad,2015-07-13,111.767,1
Ahmedabad,2015-07-14,151.398,1
Ahmedabad,2015-07-15,52.085,0
Ahmedabad,2015-07-16,65.369,1
Ahmedabad,2015-07-17,56.074,0
Ahmedabad,2015-07-18,48.167,0
Ahmedabad,2015-07-19,33.559,0
Ahmedabad,2015-07-22,57.107,0
Ahmedabad,2015-07-23,34.724,0
Ahmedabad,2015-07-24,29.217,0
Ahmedabad,2015-07-25,29.794,0
Ahmedabad,2015-07-26,59.948,0
Ahmedabad,2015-07-27,19.205,0
