city,pollutant,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Ahmedabad,Benzene,2015,8759,8759,6874,21.52,0.0,253.67,0,0.0
Ahmedabad,Benzene,2016,8784,8784,4020,54.23,0.0,338.32,0,0.0
Ahmedabad,Benzene,2017,8760,8760,3727,57.45,0.0,310.11,0,0.0
Ahmedabad,Benzene,2018,8760,8760,8488,3.11,0.0,381.58,0,0.0
Ahmedabad,Benzene,2019,8760,8760,7576,13.52,0.0,115.14,0,0.0
Ahmedabad,Benzene,2020,4369,4369,4089,6.41,0.0,194.37,0,0.0
Ahmedabad,CO,2015,8759,8759,6593,24.73,0.01,330.95,324,4.914
Ahmedabad,CO,2016,8784,8784,2561,70.84,0.03,423.83,187,7.302
Ahmedabad,CO,2017,8760,8760,1492,82.97,1.98,498.57,213,14.276
Ahmedabad,CO,2018,8760,8760,8444,3.61,0.27,494.9,1274,15.088
Ahmedabad,CO,2019,8760,8760,8332,4.89,0.03,476.02,844,10.13
Ahmedabad,CO,2020,4369,4369,4140,5.24,0.04,428.71,136,3.285
Ahmedabad,NH3,2015,8759,8759,0,100.0,,,0,
Ahmedabad,NH3,2016,8784,8784,0,100.0,,,0,
Ahmedabad,NH3,2017,8760,8760,0,100.0,,,0,
Ahmedabad,NH3,2018,8760,8760,0,100.0,,,0,
Ahmedabad,NH3,2019,8760,8760,0,100.0,,,0,
Ahmedabad,NH3,2020,4369,4369,0,100.0,,,0,
Ahmedabad,NO,2015,8759,8759,6593,24.73,0.01,330.95,0,0.0
Ahmedabad,NO,2016,8784,8784,2561,70.84,0.03,423.83,0,0.0
Ahmedabad,NO,2017,8760,8760,1492,82.97,1.98,498.57,0,0.0
Ahmedabad,NO,2018,8760,8760,8444,3.61,0.27,494.9,0,0.0
Ahmedabad,NO,2019,8760,8760,8332,4.89,0.03,476.02,0,0.0
Ahmedabad,NO,2020,4369,4369,4140,5.24,0.05,428.71,0,0.0
Ahmedabad,NO2,2015,8759,8759,6895,21.28,0.01,107.0,0,0.0
Ahmedabad,NO2,2016,8784,8784,2754,68.65,1.3,311.63,0,0.0
Ahmedabad,NO2,2017,8760,8760,1494,82.95,0.17,294.61,0,0.0
Ahmedabad,NO2,2018,8760,8760,8459,3.44,0.14,476.69,0,0.0
Ahmedabad,NO2,2019,8760,8760,8298,5.27,0.06,494.15,0,0.0
Ahmedabad,NO2,2020,4369,4369,4137,5.31,0.27,365.13,0,0.0
Ahmedabad,NOx,2015,8759,8759,6874,21.52,0.0,412.0,0,0.0
Ahmedabad,NOx,2016,8784,8784,2757,68.61,0.0,488.92,0,0.0
