city,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Ahmedabad,2015,8759,8759,6186,29.38,0.34,834.15,0,0.0
Ahmedabad,2016,8784,8784,2721,69.02,0.35,928.54,0,0.0
Ahmedabad,2017,8760,8760,1650,81.16,1.3,364.6,0,0.0
Ahmedabad,2018,8760,8760,8420,3.88,0.54,994.58,0,0.0
Ahmedabad,2019,8760,8760,8148,6.99,1.45,503.32,0,0.0
Ahmedabad,2020,4369,4369,4004,8.35,2.29,999.99,0,0.0
Bengaluru,2015,8759,8759,6795,22.42,0.27,500.26,0,0.0
Bengaluru,2016,8784,8784,7097,19.21,0.01,999.99,0,0.0
Bengaluru,2017,8760,8760,8359,4.58,0.01,999.99,0,0.0
Bengaluru,2018,8760,8760,8182,6.6,0.23,999.99,0,0.0
Bengaluru,2019,8760,8760,8759,0.01,4.74,222.57,0,0.0
Bengaluru,2020,4369,4369,4369,0.0,5.03,207.64,0,0.0
Chennai,2015,8759,8759,6570,24.99,0.02,846.68,0,0.0
Chennai,2016,8784,8784,7836,10.79,0.4,517.97,0,0.0
Chennai,2017,8760,8760,8587,1.97,0.34,999.99,0,0.0
Chennai,2018,8760,8760,8756,0.05,4.0,453.36,0,0.0
Chennai,2019,8760,8760,8758,0.02,1.51,505.06,0,0.0
Chennai,2020,4369,4369,4369,0.0,0.8,428.37,0,0.0
Delhi,2015,8759,8759,8735,0.27,10.17,533.21,0,0.0
Delhi,2016,8784,8784,8708,0.87,7.18,882.0,0,0.0
Delhi,2017,8760,8760,8485,3.14,0.05,938.5,0,0.0
Delhi,2018,8760,8760,8760,0.0,10.55,682.16,0,0.0
Delhi,2019,8760,8760,8760,0.0,7.47,847.97,0,0.0
Delhi,2020,4369,4369,4369,0.0,7.43,611.38,0,0.0
Hyderabad,2015,8674,8674,6468,25.43,6.0,995.0,0,0.0
Hyderabad,2016,8784,8784,7650,12.91,0.1,995.0,0,0.0
Hyderabad,2017,8760,8760,8504,2.92,0.25,310.25,0,0.0
Hyderabad,2018,8760,8760,8756,0.05,3.56,88.29,0,0.0
Hyderabad,2019,8760,8760,8760,0.0,2.88,194.08,0,0.0
Hyderabad,2020,4369,4369,4369,0.0,4.79,106.25,0,0.0
Kolkata,2018,6374,6374,4936,22.56,0.02,871.24,0,0.0
Kolkata,2019,8760,8760,8756,0.05,3.3,686.1,0,0.0
Kolkata,2020,4369,4369,4369,0.0,2.04,234.82,0,0.0
Lucknow,2015,8759,8759,6701,23.5,1.07,997.93,0,0.0
Lucknow,2016,8784,8784,7869,10.42,0.65,999.99,0,0.0
Lucknow,2017,8760,8760,8598,1.85,0.1,999.99,0,0.0
Lucknow,2018,8760,8760,8736,0.27,5.35,999.99,0,0.0
Lucknow,2019,8760,8760,8759,0.01,6.37,652.88,0,0.0
Lucknow,2020,4369,4369,4369,0.0,12.55,505.62,0,0.0
Mumbai,2015,8759,8759,0,100.0,,,0,
Mumbai,2016,8784,8784,0,100.0,,,0,
Mumbai,2017,8760,8760,0,100.0,,,0,
Mumbai,2018,8760,8760,5152,41.19,0.05,689.24,0,0.0
Mumbai,2019,8760,8760,8663,1.11,0.01,445.22,0,0.0
Mumbai,2020,4369,4369,4369,0.0,2.24,146.82,0,0.0
