city,calendar_month,avg_value,n_days_with_data
Ahmedabad,1,79.358,85
Ahmedabad,2,88.425,101
Ahmedabad,3,78.415,116
Ahmedabad,4,75.31,102
Ahmedabad,5,52.255,111
Ahmedabad,6,43.802,113
Ahmedabad,7,49.032,112
Ahmedabad,8,43.59,119
Ahmedabad,9,36.436,100
Ahmedabad,10,95.865,121
Ahmedabad,11,97.065,92
Ahmedabad,12,77.647,88
Bengaluru,1,47.155,149
Bengaluru,2,45.219,142
Bengaluru,3,45.13,159
Bengaluru,4,36.99,159
Bengaluru,5,33.332,175
Bengaluru,6,22.477,161
Bengaluru,7,21.749,127
Bengaluru,8,21.881,146
Bengaluru,9,24.828,138
Bengaluru,10,36.2,148
Bengaluru,11,40.71,146
Bengaluru,12,48.329,150
Chennai,1,61.878,153
Chennai,2,56.406,142
Chennai,3,56.315,160
Chennai,4,45.314,176
Chennai,5,49.704,185
Chennai,6,48.962,164
Chennai,7,49.506,151
Chennai,8,40.108,150
Chennai,9,36.744,148
Chennai,10,50.469,151
Chennai,11,52.865,150
Chennai,12,55.677,133
Delhi,1,197.473,186
Delhi,2,141.976,170
Delhi,3,87.786,185
Delhi,4,90.935,180
Delhi,5,92.478,185
Delhi,6,70.02,175
Delhi,7,46.344,153
Delhi,8,43.568,145
Delhi,9,54.944,148
Delhi,10,141.238,154
Delhi,11,238.245,150
Delhi,12,208.1,155
Hyderabad,1,67.985,153
Hyderabad,2,60.788,138
Hyderabad,3,48.492,156
Hyderabad,4,43.561,169
Hyderabad,5,38.937,186
Hyderabad,6,35.686,177
Hyderabad,7,23.743,151
Hyderabad,8,24.255,134
Hyderabad,9,37.899,139
Hyderabad,10,62.613,141
Hyderabad,11,60.465,150
Hyderabad,12,64.053,152
Kolkata,1,148.195,62
Kolkata,2,105.624,57
Kolkata,3,61.904,62
Kolkata,4,32.608,66
Kolkata,5,29.708,62
Kolkata,6,24.496,75
Kolkata,7,25.23,62
Kolkata,8,22.128,62
Kolkata,9,27.3,60
Kolkata,10,63.226,62
Kolkata,11,114.402,60
Kolkata,12,136.911,62
Lucknow,1,180.265,154
Lucknow,2,136.434,139
Lucknow,3,100.773,164
Lucknow,4,83.647,176
Lucknow,5,85.03,165
Lucknow,6,72.364,166
Lucknow,7,39.891,145
Lucknow,8,42.163,146
Lucknow,9,46.231,150
Lucknow,10,117.17,154
Lucknow,11,217.734,150
Lucknow,12,206.388,154
Mumbai,1,69.165,62
Mumbai,2,60.876,57
Mumbai,3,31.578,62
Mumbai,4,21.652,59
Mumbai,5,16.632,84
Mumbai,6,15.074,87
Mumbai,7,14.346,59
Mumbai,8,17.902,62
Mumbai,9,20.642,60
Mumbai,10,39.881,55
Mumbai,11,61.008,55
Mumbai,12,73.547,62
